iter	Passed	Remaining
0	58	58114
1	58	29330
2	59	19707
3	59	14875
4	60	12003
5	60	10072
6	61	8721
7	62	7693
8	62	6902
9	63	6258
10	63	5747
11	64	5307
12	65	4937
13	65	4623
14	66	4344
15	66	4103
16	67	3890
17	67	3698
18	68	3526
19	68	3371
20	69	3231
21	69	3108
22	70	2991
23	70	2886
24	71	2787
25	71	2694
26	72	2610
27	72	2532
28	73	2462
29	74	2394
30	74	2329
31	75	2269
32	75	2213
33	76	2162
34	76	2111
35	77	2063
36	77	2017
37	78	1977
38	78	1937
39	79	1901
40	79	1866
41	80	1834
42	80	1802
43	81	1773
44	82	1744
45	82	1719
46	83	1692
47	83	1665
48	84	1641
49	85	1618
50	85	1596
51	86	1575
52	86	1553
53	87	1531
54	87	1511
55	88	1493
56	89	1474
57	89	1455
58	90	1437
59	90	1420
60	91	1404
61	91	1390
62	92	1375
63	93	1360
64	93	1347
65	94	1334
66	94	1321
67	95	1308
68	96	1296
69	96	1284
70	97	1272
71	97	1261
72	98	1249
73	99	1238
74	99	1228
75	100	1217
76	100	1207
77	101	1197
78	101	1187
79	102	1177
80	102	1167
81	103	1159
82	103	1146
83	104	1137
84	104	1129
85	105	1121
86	106	1112
87	106	1105
88	107	1097
89	107	1089
90	108	1082
91	109	1076
92	109	1069
93	110	1062
94	110	1055
95	111	1048
96	112	1042
97	112	1036
98	113	1029
99	113	1023
100	114	1018
101	115	1012
102	115	1007
103	116	1001
104	116	995
105	117	990
106	118	985
107	118	979
108	119	973
109	119	968
110	120	963
111	120	958
112	121	952
113	122	948
114	122	943
115	123	939
116	123	934
117	124	930
118	125	926
119	125	922
120	126	918
121	126	913
122	127	909
123	128	906
124	128	902
125	129	899
126	130	895
127	130	891
128	131	888
129	132	884
130	132	880
131	133	878
132	134	873
133	134	870
134	135	867
135	136	864
136	136	860
137	137	857
138	138	854
139	138	851
140	139	848
141	139	844
142	140	841
143	140	838
144	141	835
145	142	832
146	142	829
147	143	826
148	144	824
149	145	821
150	145	818
151	146	816
152	146	813
153	147	811
154	148	808
155	148	805
156	149	803
157	150	800
158	150	798
159	151	795
160	152	792
161	152	789
162	153	787
163	154	785
164	154	783
165	155	780
166	156	778
167	156	776
168	157	774
169	158	772
170	158	770
171	159	768
172	160	766
173	161	764
174	161	762
175	162	760
176	163	758
177	163	756
178	164	754
179	165	752
180	165	750
181	166	748
182	167	746
183	167	744
184	168	742
185	169	739
186	169	737
187	170	735
188	170	733
189	171	731
190	172	730
191	172	727
192	173	725
193	174	723
194	174	722
195	175	720
196	176	719
197	177	716
198	177	715
199	178	713
200	179	712
201	179	710
202	180	707
203	180	706
204	181	704
205	182	702
206	182	700
207	183	698
208	184	696
209	184	695
210	185	693
211	186	691
212	186	690
213	187	688
214	188	687
215	188	685
216	189	683
217	189	681
218	190	680
219	191	678
220	191	676
221	192	674
222	193	672
223	193	670
224	194	669
225	194	667
226	195	666
227	196	664
228	196	662
229	197	661
230	198	660
231	198	658
232	199	656
233	200	655
234	200	653
235	201	652
236	202	650
237	202	648
238	203	646
239	203	645
240	204	643
241	204	641
242	205	640
243	206	639
244	206	637
245	207	636
246	208	634
247	208	633
248	209	631
249	210	630
250	210	628
251	211	627
252	211	625
253	212	624
254	213	622
255	213	621
256	214	620
257	215	619
258	215	617
259	216	616
260	217	614
261	217	613
262	218	611
263	218	610
264	219	608
265	220	607
266	220	606
267	221	605
268	222	603
269	222	602
270	223	601
271	223	599
272	224	598
273	225	596
274	225	595
275	226	594
276	227	593
277	227	592
278	228	590
279	229	589
280	229	588
281	230	586
282	231	585
283	231	584
284	232	582
285	232	581
286	233	580
287	234	579
288	234	577
289	235	576
290	235	574
291	236	573
292	237	572
293	237	571
294	238	569
295	238	568
296	239	566
297	240	565
298	240	563
299	241	562
300	241	561
301	242	559
302	242	558
303	243	556
304	243	555
305	244	554
306	244	552
307	245	551
308	245	550
309	246	548
310	246	547
311	247	545
312	248	544
313	248	543
314	249	541
315	249	540
316	250	539
317	250	537
318	251	536
319	251	535
320	252	533
321	252	532
322	253	531
323	254	529
324	254	528
325	255	527
326	255	526
327	256	524
328	256	523
329	257	522
330	257	521
331	258	519
332	258	518
333	259	517
334	260	516
335	260	514
336	261	513
337	261	512
338	262	511
339	262	509
340	263	508
341	263	507
342	264	506
343	264	505
344	265	503
345	265	502
346	266	501
347	266	500
348	267	499
349	268	497
350	268	496
351	269	495
352	269	494
353	270	493
354	270	492
355	271	491
356	271	489
357	272	488
358	273	487
359	273	486
360	274	485
361	274	484
362	275	482
363	275	481
364	276	480
365	276	479
366	277	478
367	277	477
368	278	476
369	278	474
370	279	473
371	280	472
372	280	471
373	281	470
374	281	469
375	282	468
376	282	466
377	283	465
378	283	464
379	283	463
380	284	462
381	284	460
382	285	459
383	285	458
384	286	457
385	286	456
386	287	455
387	287	454
388	288	452
389	288	451
390	289	450
391	289	449
392	290	448
393	290	447
394	291	445
395	291	444
396	292	443
397	292	442
398	292	441
399	293	440
400	293	438
401	294	437
402	294	436
403	295	435
404	295	434
405	296	433
406	296	432
407	296	430
408	297	429
409	298	428
410	298	427
411	298	426
412	299	425
413	299	424
414	300	423
415	300	422
416	301	421
417	301	420
418	302	418
419	302	417
420	303	416
421	303	415
422	304	414
423	304	413
424	304	412
425	305	411
426	305	410
427	306	409
428	306	408
429	307	407
430	307	406
431	308	405
432	308	404
433	309	403
434	309	401
435	309	400
436	310	399
437	310	398
438	311	397
439	311	396
440	312	395
441	312	394
442	313	393
443	313	392
444	315	393
445	315	392
446	316	391
447	316	390
448	317	389
449	317	388
450	318	387
451	318	386
452	319	385
453	319	384
454	320	383
455	320	382
456	321	381
457	321	380
458	321	379
459	322	378
460	323	377
461	323	377
462	324	376
463	325	375
464	325	374
465	326	373
466	326	372
467	327	371
468	327	370
469	327	369
470	328	368
471	328	367
472	329	366
473	329	365
474	330	364
475	330	363
476	331	363
477	331	362
478	332	361
479	332	360
480	333	359
481	333	358
482	334	357
483	334	356
484	335	355
485	335	354
486	336	353
487	336	353
488	336	352
489	337	351
490	337	350
491	338	349
492	338	348
493	339	347
494	339	346
495	340	345
496	340	344
497	341	343
498	341	343
499	342	342
500	342	341
501	343	340
502	343	339
503	344	338
504	344	337
505	345	336
506	345	336
507	346	335
508	346	334
509	347	333
510	347	332
511	348	331
512	348	331
513	349	330
514	349	329
515	350	328
516	350	327
517	351	326
518	351	325
519	352	324
520	352	324
521	352	323
522	353	322
523	353	321
524	354	320
525	354	319
526	355	318
527	355	318
528	356	317
529	356	316
530	357	315
531	357	314
532	358	313
533	358	313
534	359	312
535	359	311
536	360	310
537	360	309
538	361	308
539	361	307
540	362	307
541	362	306
542	363	305
543	363	304
544	363	303
545	364	302
546	364	302
547	365	301
548	365	300
549	366	299
550	366	298
551	367	297
552	367	297
553	368	296
554	368	295
555	369	294
556	369	293
557	370	293
558	370	292
559	370	291
560	371	290
561	371	289
562	372	289
563	372	288
564	373	287
565	373	286
566	374	285
567	374	285
568	375	284
569	375	283
570	376	282
571	376	281
572	377	281
573	377	280
574	378	279
575	378	278
576	379	278
577	379	277
578	380	276
579	380	275
580	381	274
581	381	274
582	382	273
583	382	272
584	382	271
585	383	270
586	384	270
587	384	269
588	384	268
589	385	267
590	385	267
591	386	266
592	387	265
593	387	264
594	388	264
595	388	263
596	388	262
597	389	261
598	389	260
599	390	260
600	390	259
601	391	258
602	391	257
603	392	257
604	392	256
605	393	255
606	393	254
607	393	254
608	394	253
609	394	252
610	395	251
611	395	250
612	396	250
613	396	249
614	397	248
615	397	247
616	398	247
617	398	246
618	399	245
619	399	245
620	400	244
621	400	243
622	401	242
623	401	241
624	402	241
625	402	240
626	402	239
627	403	238
628	403	238
629	404	237
630	404	236
631	405	236
632	405	235
633	406	234
634	406	233
635	407	233
636	407	232
637	408	231
638	408	230
639	408	230
640	409	229
641	409	228
642	410	227
643	411	227
644	411	226
645	412	225
646	412	225
647	413	224
648	413	223
649	414	223
650	415	222
651	415	221
652	416	221
653	416	220
654	417	219
655	417	218
656	418	218
657	418	217
658	419	216
659	419	216
660	419	215
661	420	214
662	420	213
663	421	213
664	421	212
665	422	211
666	422	211
667	423	210
668	423	209
669	424	208
670	424	208
671	425	207
672	425	206
673	426	206
674	426	205
675	427	204
676	427	203
677	427	203
678	428	202
679	428	201
680	429	201
681	429	200
682	430	199
683	430	198
684	430	198
685	431	197
686	431	196
687	432	195
688	433	195
689	433	194
690	433	194
691	434	193
692	434	192
693	435	191
694	435	191
695	436	190
696	436	189
697	437	189
698	437	188
699	438	187
700	438	187
701	438	186
702	439	185
703	439	184
704	440	184
705	440	183
706	441	182
707	441	182
708	442	181
709	442	180
710	442	180
711	443	179
712	443	178
713	444	177
714	444	177
715	445	176
716	445	175
717	445	175
718	446	174
719	446	173
720	447	173
721	447	172
722	447	171
723	448	170
724	448	170
725	449	169
726	449	168
727	450	168
728	450	167
729	450	166
730	451	166
731	451	165
732	452	164
733	452	164
734	452	163
735	453	162
736	453	161
737	454	161
738	454	160
739	454	159
740	455	159
741	455	158
742	456	157
743	456	157
744	456	156
745	457	155
746	457	155
747	458	154
748	459	154
749	459	153
750	460	152
751	460	151
752	461	151
753	461	150
754	461	149
755	462	149
756	462	148
757	463	147
758	463	147
759	464	146
760	464	145
761	464	145
762	465	144
763	465	143
764	466	143
765	466	142
766	467	141
767	467	141
768	467	140
769	468	139
770	468	139
771	469	138
772	469	137
773	469	137
774	470	136
775	470	135
776	471	135
777	471	134
778	471	133
779	472	133
780	472	132
781	473	131
782	473	131
783	474	130
784	474	129
785	474	129
786	475	128
787	475	128
788	476	127
789	476	126
790	476	126
791	477	125
792	477	124
793	478	124
794	478	123
795	479	122
796	479	122
797	479	121
798	480	120
799	480	120
800	481	119
801	481	118
802	482	118
803	482	117
804	482	116
805	483	116
806	483	115
807	484	115
808	484	114
809	485	113
810	485	113
811	485	112
812	486	111
813	486	111
814	487	110
815	487	109
816	488	109
817	488	108
818	488	108
819	489	107
820	489	106
821	490	106
822	490	105
823	491	104
824	491	104
825	491	103
826	492	102
827	492	102
828	493	101
829	493	101
830	494	100
831	494	99
832	494	99
833	495	98
834	495	97
835	496	97
836	496	96
837	496	96
838	497	95
839	497	94
840	498	94
841	498	93
842	498	92
843	499	92
844	499	91
845	500	91
846	500	90
847	501	89
848	501	89
849	501	88
850	502	87
851	502	87
852	503	86
853	503	86
854	504	85
855	504	84
856	504	84
857	505	83
858	505	83
859	506	82
860	506	81
861	507	81
862	507	80
863	507	79
864	508	79
865	508	78
866	509	78
867	509	77
868	510	76
869	510	76
870	511	75
871	511	75
872	512	74
873	512	73
874	512	73
875	513	72
876	513	72
877	514	71
878	514	70
879	515	70
880	516	69
881	516	69
882	517	68
883	517	67
884	517	67
885	518	66
886	518	66
887	519	65
888	519	64
889	519	64
890	520	63
891	520	63
892	521	62
893	521	61
894	521	61
895	522	60
896	522	60
897	523	59
898	523	58
899	523	58
900	524	57
901	524	57
902	525	56
903	525	55
904	526	55
905	526	54
906	526	54
907	527	53
908	527	52
909	528	52
